Grid Size,30
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
0,0,0,0,4.6324,4.6683,0,-67.5968,-67.7996,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,0,4.6324,4.6682,0,-62.9286,-67.7996,0
0,1,1,1,4.6324,4.6682,0,-62.9286,-63.1672,0
0,1,0,1,4.6324,4.6683,0,-67.5968,-63.1672,0
0,0,1,0,4.6324,4.6682,0,-62.9286,-67.7996,0
0,1,0,1,4.6324,4.6683,0,-67.5968,-63.1672,0
0,1,0,0,4.6324,4.6683,0,-67.5968,-67.7996,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,2,0,4.6324,4.6683,0,-58.2604,-67.7996,0
0,1,2,1,4.6324,4.6683,0,-58.2604,-63.1672,0
0,1,1,1,4.6324,4.6682,0,-62.9286,-63.1672,0
0,0,2,0,4.6324,4.6683,0,-58.2604,-67.7996,0
0,1,1,1,4.6324,4.6682,0,-62.9286,-63.1672,0
0,1,1,0,4.6324,4.6682,0,-62.9286,-67.7996,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,0,4.6324,4.6682,0,-53.5921,-67.7996,0
0,1,3,1,4.6324,4.6682,0,-53.5921,-63.1672,0
0,1,2,1,4.6324,4.6683,0,-58.2604,-63.1672,0
0,0,3,0,4.6324,4.6682,0,-53.5921,-67.7996,0
0,1,2,1,4.6324,4.6683,0,-58.2604,-63.1672,0
0,1,2,0,4.6324,4.6683,0,-58.2604,-67.7996,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,4,0,4.6324,4.6683,0,-48.9239,-67.7996,0
0,1,4,1,4.6324,4.6683,0,-48.9239,-63.1672,0
0,1,3,1,4.6324,4.6682,0,-53.5921,-63.1672,0
